white_FMB,ganser_FMB_04,white_JAS,ganser_JAS_04,ganser_JAS_07,ganser_JAS_sphere,stokes_JAS,ganser_LW_04
1.9888766e-06,1.9888737e-06,6.881418500208354e-07,5.842150585594726e-07,6.473054648269494e-07,6.88141722753421e-07,6.881418504273503e-07,6.881418504273503e-07
5.176094900000001e-06,5.176062599999999e-06,2.7525673887024618e-06,2.3368550961805038e-06,2.5892185469461674e-06,2.7525654008293316e-06,2.752567401709401e-06,2.752567401709401e-06
9.7131606e-06,9.7130287e-06,6.193276555089823e-06,5.2579049842754945e-06,5.8257294933365416e-06,6.193266646466251e-06,6.193276653846153e-06,6.193276653846153e-06
1.5637347999999998e-05,1.5636979e-05,1.1010269190754668e-05,8.612586282339615e-06,1.0356822277569093e-05,1.1010238249523064e-05,1.1010269606837604e-05,9.347339863363718e-06
2.2952436e-05,2.295159e-05,1.7203544991160407e-05,1.2917317223447705e-05,1.5694901453258935e-05,1.7203470213999893e-05,1.720354626068376e-05,1.345704592440551e-05
3.1654654e-05,3.1652984e-05,2.477310345712213e-05,1.8600713112684508e-05,2.2600509077646368e-05,2.4772949782727258e-05,2.4773106615384613e-05,1.937793594852762e-05
4.1739989999999996e-05,4.1737017e-05,3.371894384637675e-05,2.4804364910161605e-05,3.0761565515463524e-05,3.371866145615757e-05,3.371895067094017e-05,2.5317279272161896e-05
5.3205676999999995e-05,5.3200736e-05,4.404107613553818e-05,3.239700144928031e-05,3.956799303088411e-05,4.4040598017595294e-05,4.4041089437620715e-05,3.306693783597312e-05
6.6050015e-05,6.6042288e-05,5.573947830715602e-05,4.100167577283003e-05,5.0077663292248256e-05,5.5738717882056705e-05,5.573950227116937e-05,4.184957435515524e-05
8.0272046e-05,8.026050599999999e-05,6.881414447160508e-05,5.010289007204485e-05,6.182346914300451e-05,6.881299327653546e-05,6.881418504273504e-05,5.061827162825587e-05
9.587129199999999e-05,9.5854666e-05,8.326509858200073e-05,6.0623071219727224e-05,7.423513096777862e-05,8.32634240115454e-05,8.326516390170941e-05,6.124668215132448e-05
0.00011284737,0.00011282415000000001,9.909232557239402e-05,7.214461173471497e-05,8.834449906257763e-05,9.908996867787512e-05,9.909242646153845e-05,7.288675929998547e-05
0.00013120018,0.00013116855,0.00011629582223267834,8.466735997933563e-05,0.00010368025096932227,0.00011629259557548277,0.00011629597272222223,8.553835135271107e-05
0.00015092951,0.0001508874,0.0001348755847746938,9.76900172563238e-05,0.00012024225874243447,0.0001348712703344979,0.00013487580268376067,9.81911515749871e-05
0.00017203531999999998,0.00017198033,0.00015483160878506123,0.00011214054099302602,0.0001375030879714066,0.00015482595592187322,0.00015483191634615387,0.00011271580944126316
0.00019451743999999998,0.00019444685000000002,0.0001761638891782106,0.0001275866323202956,0.0001564444637069311,0.00017615661264756455,0.00017616431370940167,0.00012824114383336419
0.00021837586,0.00021828656000000003,0.0001988724201496125,0.000144028089611704,0.00017660694193263535,0.00019886319817030918,0.00019887299477350421,0.0001447669523781196
0.00024361043999999998,0.00024349898999999998,0.00022295719512921766,0.0001614646986947713,0.00019799035181639917,0.00022294566750305695,0.0002229579595384615,0.0001622930201088837
0.00027022112,0.00027008355,0.00024841820673511094,0.00017989623288499452,0.00022059451252588608,0.0002484039730180991,0.00024841920800427347,0.00018081911949951708
0.00029820765,0.00029803975,0.00027525544672738693,0.00019881328224467137,0.00024441923325167677,0.00027523806445193323,0.00027525674017094015,0.0001993224530191506
0.00032757007,0.00032736703999999996,0.0003034689059622514,0.0002191817815104774,0.00026894873574713984,0.000303447888909894,0.0003034705560384615,0.00021974310748801464
0.00035830826,0.00035806486000000004,0.0003330585743463545,0.0002405419138328389,0.00029516361325020705,0.00033303339087057744,0.00033306065560683763,0.0002411579322686236
0.00039042201,0.00039013271,0.0003640244407913611,0.00026289340378400015,0.0003225960618635579,0.0003639945121900787,0.0003640270388760682,0.0002635666509561798
0.00042391132000000004,0.0004235697,0.0003963664931687644,0.0002862359636304482,0.0003512458490853786,0.0003963311921060666,0.0003963697058461538,0.00028696897479568977
0.00045877605000000006,0.00045837538,0.0004300847182649434,0.000310569293364349,0.0003811127324604611,0.0004300433672417059,0.0004300886565170939,0.00031136460271340936
0.00049501588,0.00049454893,0.00046517910173647577,0.0003358930807348642,0.0004121964596010981,0.00046513097160944753,0.0004651838908888889,0.0003367532213481653
0.0005326308900000001,0.00053208973,0.0005016496280657033,0.000362207001279402,0.00044449676820775615,0.0005015939366146945,0.0005016554089615384,0.000363134505082607
0.0005716208299999999,0.00057099707,0.0005394958951695329,0.00038951044036990415,0.00047801304484283946,0.0005394318058006801,0.0005395028253756753,0.0003905078373779017
0.00061198563,0.00061127008,0.00057871864198265,0.00041727003433919237,0.0005127456777791464,0.000578645262134859,0.0005787268970871973,0.0004178035952912343
0.00065372483,0.00065290794,0.000619317477614875,0.0004465149187285531,0.0005481681505149454,0.0006192338577163095,0.000619327252499574,0.0004470858370445167
0.00069683878,0.0006959100699999999,0.0006612923814125583,0.0004767472607758417,0.0005852962148109336,0.000661197513556862,0.0006613038916128051,0.00047735679263313135
0.00074132695,0.00074027531,0.0007046433313296351,0.0005079666764364784,0.0006236382171095776,0.0007045361480781528,0.0007046568144268913,0.000508616077005542
0.00078718929,0.0007860031900000001,0.0007493703038848109,0.0005401727696747339,0.000663193834905015,0.0007492496771147492,0.0007493860209418319,0.0005408632930870297
0.00083442556,0.0008330922,0.0007954732741190349,0.0005733651324956108,0.0007039627358875355,0.0007953380139172175,0.0007954915111576276,0.0005740980318116064
0.0008830358300000002,0.00088154216,0.0008429522155532528,0.000607543344976928,0.0007459445779638869,0.000842801069155122,0.0008429732850742776,0.0006083198721541268
0.0009330195,0.0009313514999999999,0.0008918071001464559,0.0006427069753016321,0.0007891390092776189,0.0008916387509199762,0.0008918313426917824,0.0006435283811626292
0.00098437676,0.0009825198199999998,0.0009420378982540164,0.000678855579790349,0.0008335456682294649,0.0009418509647281362,0.0009420656840101419,0.0006797231139909133
0.0010371068,0.0010350454,0.0009936445785863226,0.0007159887029341898,0.0008791641834977856,0.0009934376135236514,0.0009936763090293561,0.0007169036139313758
0.0010912103,0.001088928,0.001046626571463351,0.0007541054913374655,0.000925993699703156,0.0010463980611999568,0.0010466626809989888,0.0007550690258652783
0.0011466867,0.0011441663,0.0011009849018333655,0.0007927005888766021,0.000974034762743806,0.0011007332647852692,0.0011010258596570752,0.0007932062282793442
0.0012035356,0.001200759,0.0011567190102805768,0.0008327589337136082,0.0010232865100113827,0.0011564425967851464,0.0011567653220160166,0.000833290046709667
0.0012617566,0.0012587049000000001,0.0012138288585277865,0.0008737992408882653,0.0010732327553628818,0.0012135259498820888,0.0012138810680758126,0.0008743564441353673
0.0013213501999999998,0.0013180034,0.0012723144064505038,0.0009158209971354093,0.0011248796772181878,0.0012719832141999373,0.0012723730978364634,0.000916404906402076
0.0013823156,0.0013786531,0.0013321756120374033,0.0009588236775836857,0.0011777354278789847,0.0013318142773065009,0.0013322414112979688,0.0009594349077288154
0.0014446523000000001,0.0014406526000000002,0.0013934124313510997,0.0010028067457904233,0.001231799567915599,0.0013930190242161613,0.0013934860084603292,0.001003445910742914
0.0015083610999999998,0.0015040013000000001,0.001456024818489235,0.001047769653776841,0.0012870716483309424,0.0014555973373924478,0.0014561068893235443,0.0010484373665152538
0.0015734405,0.0015686973,0.0015200127255458823,0.0010937118420635936,0.0013435512105820708,0.0015195490967505902,0.001520104053887613,0.0010944087145958578
0.0016398914000000002,0.0016347397,0.001585376102573275,0.001140632739706662,0.0014012377866018948,0.0015848741796600538,0.0015854775021525377,0.0011413593830498225
0.0017077129999999998,0.0017021275,0.0016521148975438434,0.0011885317643335837,0.0014601308988210332,0.0016515724609470444,0.0016522272341183168,0.0011892887884935907
0.0017769047,0.0017708588,0.0017202290563125867,0.001237408322180046,0.0015202300601898304,0.001719643812897006,0.001720353249784951,0.001238196336131586
0.0018474669,0.0018409326000000002,0.0017897185225797625,0.0012872618081268207,0.0015815347742005265,0.0017890881052570935,0.0017898555491524385,0.0012880814197931939
0.0019193992,0.001912348,0.0018605825223307782,0.0013380910925596648,0.001644043903788531,0.001859904490204115,0.0018607334165536011,0.0013389429084676256
0.0019927006,0.0019851026999999997,0.0019328224121404737,0.0013898965643629217,0.0017077581837965001,0.0019320942487590174,0.0019329882695599625,0.0013907811905918216
0.002067372,0.0020591960999999997,0.0020064374272533796,0.0014426770811605582,0.0017726764704040017,0.0020056565417617004,0.0020066194062671777,0.001443595122359239
0.0021434124,0.0021346265,0.002081427502384264,0.0014964319927903895,0.0018387982294960368,0.002080073961152967,0.002081626826675248,0.0014973840524762515
0.0022208216,0.0022113924,0.002157792569911523,0.0015511606379254173,0.001906122917612901,0.0021563425764118626,0.0021580105307841724,0.001552147318464517
0.0022995989000000002,0.0022894924,0.0022355325598418536,0.0016063528037815673,0.0019746499819733913,0.0022339812139352887,0.0022357705185939523,0.0016068623441150552
0.0023797448000000003,0.0023689254,0.0023146473997752498,0.0016630090677319034,0.0020443788604981913,0.002312989652192312,0.002314906790104586,0.0016635364278164502
0.002461259,0.0024496894,0.00239513701487034,0.0017206367196321386,0.002114799205631765,0.0023933676658945548,0.0023954193453160754,0.0017211821944461219
0.0025441402,0.0025317825,0.00247700132781006,0.0017792350546461293,0.002186912458406369,0.002475115026000469,0.0024773081842284195,0.0017797989384125718
0.0026283892999999997,0.0026152043,0.0025602402587676576,0.0018388033569838739,0.002260225482189737,0.00255823149971961,0.0025605733068416177,0.0018393859431586846
0.0027140051000000003,0.0026999526,0.002644852872366047,0.0018993402897232723,0.0023347369265232817,0.0026427159988198843,0.002645213859860257,0.001899941870792126
0.0028009876,0.0027860256,0.0027308407759283992,0.0019608463260466125,0.0024104476731316533,0.002728569972734793,0.0027312315361123283,0.0019614671940846066
0.0028893368,0.0028734221,0.0028182030426363055,0.002023320117018834,0.002487356365206836,0.0028157923394434656,0.002818625496065254,0.0020239605631104723
0.0029790511,0.0029621401000000003,0.0029069395822911475,0.002086760903447162,0.002565462375935846,0.0029038817652060917,0.002907395739719035,0.002087421217863272
0.0030701319,0.0030521784999999997,0.0029970503020197423,0.0021511679153930472,0.0026447650693986586,0.0029938089175662653,0.0029975422670736693,0.0021518483875792548
0.0031625775,0.0031435352000000003,0.003088535106242396,0.002216540372214865,0.0027252638005934005,0.0030851022752354253,0.0030890650781291587,0.002217241290780121
0.0032563887,0.0032362081,0.00318139389664128,0.002282877482610972,0.0028069579154617027,0.0031777615366235922,0.003181964172885504,0.002283599135316118
0.0033515643,0.0033301965000000003,0.0032756265721291655,0.0023501784446631133,0.0028898467509142745,0.003271786395828304,0.0032762395513427026,0.0023509211184095102
0.0034481043,0.003425498,0.0033712330288184975,0.002418442445880196,0.0029739296348566552,0.0033671765426402764,0.0033718912135007554,0.002419206426698386
0.0035460078999999998,0.0035221106,0.0034682131599908105,0.0024876686632423995,0.0030592058862151774,0.0034639316625490737,0.0034689191593596648,0.002488454236280831
0.0036452755,0.0036200334,0.003566566856066476,0.002557856263245641,0.0031456748149631007,0.0035620514367488043,0.0035673233889194273,0.002558663712759437
0.0037459058,0.0037192639000000003,0.0036662930004365234,0.0026290036856652012,0.003233334839580417,0.0036615345404822867,0.0036671028974935627,0.002629833294781972
0.0038478990999999997,0.0038198007,0.0037673934722534737,0.002701111499133111,0.0033221870054374486,0.003762382636054612,0.003768259680692197,0.00270196355050804
0.0039512562,0.003921641500000001,0.0038698671627719118,0.0027741781322828114,0.003412229725156902,0.003864594403788092,0.003870792747591687,0.0027750529074241975
0.0040559736,0.0040247841,0.003973713950672077,0.002848202710124851,0.003503462273165249,0.003968169507752448,0.003974702098192033,0.0028491004896032675
0.0041620531,0.0041292273,0.004078407069787913,0.002923184347413002,0.003595883915069558,0.004073107607750757,0.004079987732493231,0.0029241054108503353
0.0042694937,0.0042349696,0.004184965060039574,0.0029991221486907827,0.0036894939076848174,0.004178893231174784,0.004186649650495287,0.0030000667747493107
0.0043782955,0.004342008400000001,0.004292893984929021,0.0030760152083382764,0.0037842914990614306,0.004286529654624438,0.004294687852198194,0.0030769836747098185
0.004488457899999999,0.0044503412,0.004402193644455803,0.0031538626106193284,0.003880275928512936,0.004395527014756656,0.0044041023376019586,0.0031548551940144363
0.0045999801000000005,0.0045599667,0.004512863833959533,0.003232157369910449,0.003977446426643885,0.004505884929388086,0.004514893106706578,0.003232663429763487
0.0047128624,0.0046708834999999995,0.004624904344080465,0.003311898452317637,0.0040758022153779315,0.004617603011815283,0.00462706015951205,0.0033124167298794575
0.0048271045,0.0047830897,0.004738314960720631,0.0033925909371298256,0.004174837042301571,0.004730680870821556,0.004740603496018377,0.0033931215651998243
0.0049427054,0.0048965826,0.0048530966196593,0.0034742346904023448,0.004275549710553464,0.004845119261851896,0.00485552427230325,0.003474777801305453
0.0050596641,0.0050113602,0.004969246801595437,0.0035568271142755697,0.0043774441303335125,0.0049609154959355094,0.004971820189974125,0.0035573828394812332
0.0051779817,0.0051274202,0.005086767600987132,0.0036403688857632663,0.004480521526887388,0.005078071484273263,0.005089493574949354,0.003640937356381544
0.0052976557,0.0052447598,0.005205656434010973,0.003724857349453502,0.0045847790175186235,0.005196584474564838,0.005208542073784775,0.003725438695722087
0.0054186871,0.0053633787,0.005325406260575326,0.00381029234170793,0.004690216797412299,0.005316455217887104,0.00532896685632105,0.003810886693368119
0.0055410755,0.0054832739,0.005447004982706669,0.003896673727077407,0.004796835100486563,0.005437684515155648,0.005450769147450328,0.003897281213373585
0.005664819399999999,0.005604441700000001,0.005569969671596709,0.003983998764342797,0.004904630947792138,0.005560269519190341,0.0055739465111511515,0.003984619513622095
0.005789919300000001,0.0057268837,0.005694301241207382,0.004072267289411976,0.00501360454458906,0.0056842110084138935,0.0056985001585528276,0.004072901429512059
0.0059163747,0.005850595,0.005820000654288422,0.004161479166411922,0.005123756134858327,0.005809509811058395,0.005824431355836156,0.004162126824660531
0.0060441862,0.0059755738,0.005947065089884712,0.004251631568953296,0.005235082643818676,0.005935647632890497,0.00595173758440238,0.004252292871756551
0.0061733504,0.0061018164000000005,0.006075496776325394,0.004342725248482498,0.005347585417888577,0.006063635047345806,0.006080421390376067,0.004343400321862667
0.0063038687,0.0062293238,0.006205292826046653,0.004434757322190169,0.005461261318637134,0.006192975216124566,0.006210480200106836,0.004435446291231942
0.0064357412,0.0063580927,0.006336454191533465,0.004527727626044407,0.005576110568548989,0.006323668948652569,0.006341915293538461,0.004528430615302017
0.006568966,0.0064881193,0.006468981873811115,0.004621636024280216,0.005692133428806476,0.006455717103954597,0.006474728005666198,0.004622353157777077
0.0067035425,0.0066194013,0.006602872885180166,0.004716479550007815,0.005809326665868978,0.006589116568346896,0.006608915680262367,0.0047172109508063
0.0068394714,0.0067519392,0.006738129560142136,0.004812259002185293,0.005927691702308378,0.006723869532537645,0.006744481001080465,0.004813004792949704
0.0069767516,0.0068857282999999995,0.006874746098078224,0.004908969414662612,0.006047222839063371,0.006859970084121226,0.0068814185042735026,0.004909729716789428
0.0071153831999999995,0.0070207659,0.007012728953802005,0.005006614493020465,0.006167925097751543,0.006997424521691056,0.007019735016209401,0.005007389427936195
0.007255365600000001,0.007157050999999999,0.007151551586708009,0.0051051911873055845,0.006289795153790874,0.007136229645891451,0.007159427811846152,0.005105980875448909
0.007396697099999999,0.0072945813,0.007292234962424698,0.005204698363532918,0.006412832053529086,0.007276384961421953,0.00730049689118376,0.005205502924638661
0.0075393775,0.0074333544,0.007434279856776928,0.0053051348788274435,0.006537034835298865,0.007417889968495064,0.007442942254222222,0.0053059544319215765
0.007683407,0.0075733666,0.0075776858622291655,0.005406499581478316,0.00666240252945014,0.007560744162844497,0.007586763900961538,0.005407334244873022
0.007828785999999999,0.0077146161,0.007722452564449662,0.005508791310993232,0.006788934158382517,0.007704947035733457,0.007731961831401707,0.005509641202282008
0.0079755113,0.007857102,0.00786857954227981,0.005612008898153011,0.006916628736577869,0.007850498073962969,0.007878536045542733,0.0056128741342058325
0.008123585,0.0080008199,0.008016066367704201,0.005716151165066399,0.007045485270633088,0.00799739675988023,0.008026486543384614,0.005717031862024936
0.0082730046,0.0081457682,0.008164927558407926,0.005821227477940622,0.007175515819061828,0.008145657463313685,0.008175828326426571,0.005822123752776862
0.008423770799999999,0.0082919439,0.008315132903276496,0.005927215628444284,0.007306693369196109,0.008295250008508285,0.00832653152929853,0.005928127594277159
0.0085758828,0.0084393444,0.008466696770217877,0.0060341248734258526,0.007439029847898918,0.008445672306789123,0.008478611015871348,0.006035052644183798
0.008729337700000001,0.0085879667,0.00861961870350302,0.006141954000857233,0.0075725242305571625,0.008597937916063772,0.008632066786145014,0.006142897689721731
0.008884140300000001,0.00873781,0.008773898240406653,0.006250701790315427,0.007707175484838902,0.00875154802961572,0.008786898840119536,0.006251661509716477
0.009040285799999999,0.008888873299999999,0.008929534911181427,0.006360367013038551,0.007842982570727035,0.008906502095034364,0.008943107177794916,0.006361342874650201
0.009197774300000001,0.0090411482,0.009086528239032755,0.006470948431982058,0.007979944440553121,0.00906279955545852,0.00910069179917115,0.006471940546717975
0.0093566068,0.009194639499999999,0.009244877740094342,0.00658194521178104,0.008118060039031365,0.00922043984958548,0.009259652704248238,0.006582444802463844
0.0095167803,0.0093493378,0.009404072601668154,0.006694347196495527,0.008256825973847923,0.009379422411680143,0.009419989893026181,0.0066948548699071065
0.0096782958,0.009505244,0.009565111418780275,0.006807661566473329,0.008397237159609838,0.009539746671584123,0.009581703365504977,0.006808177373308417
0.0098411525,0.009662357199999999,0.009727504207411721,0.006921887052541712,0.008538798788045207,0.009701412054724978,0.009744793121684631,0.006922411043058412
0.010005348,0.0098206708,0.009891250438710359,0.007037022377531062,0.008681509773754177,0.009864417982125409,0.009909259161565138,0.007037554601548779
0.010170886,0.009980184,0.010056349576423807,0.007153066256332115,0.008825369023893033,0.01002876387041256,0.010075101485146499,0.007153606763229519
0.010337760999999999,0.010140893,0.010222801076878944,0.007270017395953323,0.008970375438209074,0.01019444913182733,0.010242320092428717,0.007270566234666344
0.010505975,0.010302798,0.010390604388962051,0.007387874495578353,0.00911652790907557,0.010361473174233714,0.010410914983411785,0.007388431714598212
